Sun Jun  7 00:58:16 2026    profile.prof

         87521198 function calls (84105556 primitive calls) in 212.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59773    0.119    0.000    0.145    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:392(_notice_radius)
    88764    0.116    0.000    0.151    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/AnimatedEnvironmentSprite.py:24(react_to_wind)
    83363    0.115    0.000    0.909    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:162(remove)
     3414    0.115    0.000    0.229    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Player.py:304(input)
    15208    0.113    0.000    0.175    0.000 /usr/lib/python3.10/posixpath.py:150(dirname)
   151332    0.109    0.000    0.165    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
    30282    0.107    0.000    0.294    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:272(can_apply_damage)
     9032    0.106    0.000    0.792    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:65(handle_special_attacks)
    92800    0.105    0.000    0.163    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:2681(_is_unpacked_egg)
    20244    0.103    0.000    0.389    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:378(can_potentially_affect)
    13408    0.102    0.000    1.370    0.000 {built-in method builtins.next}
   149400    0.102    0.000    0.102    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/entities/node.py:130(update)
     2004    0.100    0.000    0.482    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:449(apply_force)
     9560    0.099    0.000    0.109    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/entities/tribe_member.py:98(steer_toward)
    27342    0.098    0.000    0.286    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:111(decide_action)
      593    0.098    0.000    0.404    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/ui/resource_bar.py:18(draw)
   215421    0.096    0.000    0.096    0.000 {method 'discard' of 'set' objects}
    27312    0.095    0.000    0.175    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Spawner.py:14(_distance_point_to_rect)
    67712    0.094    0.000    0.094    0.000 {method 'set_volume' of 'pygame.mixer.Channel' objects}
    41899    0.094    0.000    0.153    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Spawner.py:177(_set_area_debug_state)
   135464    0.092    0.000    0.092    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:600(can_receive_interaction)
    52/50    0.088    0.002    0.102    0.002 {built-in method _imp.create_dynamic}
        1    0.088    0.088    6.399    6.399 /home/fresh/.local/lib/python3.10/site-packages/pytmx/pytmx.py:636(reload_images)
     3415    0.088    0.000    0.165    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:95(_apply_grass_viewport)
    18998    0.087    0.000    0.187    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/selection.py:99(_wrap)
   181052    0.087    0.000    0.087    0.000 {method 'release' of '_thread.RLock' objects}
   224648    0.085    0.000    0.085    0.000 {method 'endswith' of 'str' objects}
    11598    0.085    0.000    1.817    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:411(get_provider)
   259191    0.085    0.000    0.085    0.000 {method 'lower' of 'str' objects}
     4056    0.083    0.000    0.200    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/tmx_layout_manager.py:179(display_time)
    12379    0.082    0.000    0.205    0.000 /usr/lib/python3.10/ntpath.py:87(isabs)
    78016    0.082    0.000    0.108    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:195(_is_simple_swarm_enemy)
     4579    0.081    0.000    0.081    0.000 {built-in method pygame.transform.flip}
    12379    0.080    0.000    0.362    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:1777(_validate_resource_path)
    17459    0.080    0.000    0.209    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:258(decide_action)
   138104    0.080    0.000    0.080    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:107(normalize)
     3414    0.079    0.000    1.973    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Player.py:573(update)
     9032    0.077    0.000    0.137    0.000 /usr/lib/python3.10/random.py:380(shuffle)
      354    0.076    0.000    0.076    0.000 {built-in method marshal.loads}
    26191    0.074    0.000    0.097    0.000 /usr/lib/python3.10/random.py:239(_randbelow_with_getrandbits)
    94038    0.074    0.000    0.291    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:649(check_death)
        2    0.073    0.036    0.074    0.037 {built-in method pygame.base.init}
   112727    0.071    0.000    0.071    0.000 {method 'startswith' of 'str' objects}
     3414    0.071    0.000    0.966    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/UI.py:86(display)
    12379    0.070    0.000    0.543    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:1767(_fn)
        2    0.070    0.035    0.189    0.095 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:159(create_ground_surface)
    40732    0.069    0.000    0.091    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:189(_collision_mode)
    98895    0.068    0.000    0.068    0.000 {built-in method math.sqrt}
   203994    0.067    0.000    0.067    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
    24584    0.067    0.000    0.087    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/assets.py:90(normalize_faction_id)
    12379    0.067    0.000    0.082    0.000 /usr/lib/python3.10/ntpath.py:150(splitdrive)
    11616    0.066    0.000    0.102    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:3527(_find_adapter)
    27342    0.066    0.000    0.209    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:152(move)
     3414    0.064    0.000   32.697    0.010 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:108(update_parallel)
   111619    0.063    0.000    0.063    0.000 {method 'rfind' of 'str' objects}
     2451    0.063    0.000    0.548    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:225(apply_force)
   192653    0.060    0.000    0.060    0.000 {built-in method posix.fspath}
    11598    0.059    0.000    1.616    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:1878(__init__)
     4056    0.057    0.000    0.194    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/world_sim.py:36(ensure_factions_from_registry)
    29002    0.057    0.000    0.078    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:214(_use_mask_obstacle_collision_normal)
     1623    0.057    0.000    0.057    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:415(<listcomp>)
     4056    0.056    0.000    0.261    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1717(_draw_gold_pickup_popup)
       67    0.056    0.001    0.056    0.001 {built-in method pygame.display.flip}
    11598    0.056    0.000    0.204    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:1661(__init__)
     3414    0.055    0.000    0.101    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1205(<listcomp>)
     6828    0.055    0.000    0.220    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/UI.py:32(show_bar)
    10505    0.055    0.000    0.105    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/behavior_drivers.py:45(steer)
    32228    0.054    0.000    0.073    0.000 {method 'sort' of 'list' objects}
        1    0.053    0.053    0.053    0.053 {built-in method pygame.base.quit}
    23898    0.053    0.000    0.077    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/InteractableChest.py:175(notify_proximity)
    33398    0.052    0.000    0.052    0.000 {built-in method math.atan2}
 5857/750    0.051    0.000    0.343    0.000 /usr/lib/python3.10/copy.py:201(_deepcopy_list)
    22818    0.050    0.000    0.130    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/world_sim.py:25(get_wallet)
    46961    0.049    0.000    0.049    0.000 {method 'inflate' of 'pygame.rect.Rect' objects}
